start	end	text
3912	5670	Тареть молодец!
26626	28468	Привет, малята!
28508	33072	Подивится, який великий плуг причепленный до меня!
33132	38597	С его допомогою я сегодня выорю велике поле!
38617	40098	Гайда зі мною!
40138	48266	Буде важко, але дуже цікаво!
48286	51209	О, бачу попереду бычка!
51249	54912	Підїду до нього ближче і привітаюся з ним!
64409	83130	Ням-ням!
83250	90819	Хе-хе-хе-хе-хе!
90959	92020	Хе-хе-хе-хе-хе!
92523	107558	Вы чего?
107578	108699	Встревай!
108719	110581	Ты куды побег?
110601	113484	Хм, яка его муха вкусила?
113524	116808	Коли він таки розлючный, чекай биды!
116848	119290	Прослідкую за ним, провсяк выпадок!
147535	158955	Ха-ха-ха!
158975	159155	Ха-ха-ха!
159175	159356	Ха-ха-ха!
159376	159556	Ха-ха-ха!
159576	159756	Ха-ха-ха!
159776	159957	Ха-ха-ха!
159977	160157	Ха-ха-ха!
160177	160398	Ха-ха-ха!
160418	160598	Ха-ха-ха!
160618	160798	Ха-ха-ха!
160818	160999	Ха-ха-ха!
161139	161479	Ха-ха-ха!
161499	161780	Ха-ха-ха!
161800	161980	Ха-ха-ха!
162000	162181	Ха-ха-ха!
162201	162421	Ха-ха-ха!
162441	162662	Ха-ха-ха!
162682	162862	Ха-ха-ха!
162882	163062	Ха-ха-ха!
163082	163944	Ха-ха-ха!
164004	164184	Ха-ха-ха!
164204	164385	Ха-ха-ха!
164405	164585	Ха-ха-ха!
164605	164785	Ха-ха-ха!
164805	164986	Ха-ха-ха!
165006	165186	Ха-ха-ха!
165206	165386	Ха-ха-ха!
165406	165587	Ха-ха-ха!
165607	165787	Ха-ха-ха!
165807	165987	Ха-ха-ха!
166007	166188	Ха-ха-ха!
166208	166388	Ха-ха-ха!
171194	174298	— О, тракторы!
174318	176481	— Бычок, шо це с тобою?
176521	179445	Спочатку кричиш — вау, вау, вау!
179465	183410	Потім чиш як вітер, а потім — вац в дерево!
183470	185353	И застряг у ньому.
185393	188637	Літала муха вреднюча навколо мене.
188677	190900	Доскуляла мені.
190960	193884	Хотів її правчиты.
193904	196307	Та ось в дерево влетів.
198903	201112	Не можу теперь вырываться!
201233	202920	Допоможи мне!
203040	204406	Муха?
204446	207619	Ты так разлютился через муху?
207740	208322	Ну...
209602	212867	Ну, добре, добре, не засмучуйся.
212947	214649	Зараз допоможу тоби.
214669	218594	Тильки давай швиденько, а то я дуже занятый сьогодні.
219516	220938	О, клас!
221058	224863	На, тягни за мого хвоста.
224903	228929	Тильки обарежно, щоб не відірвати.
230190	236419	И почали!
239386	266288	Хоуууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууууу
280325	286876	А вот и поле, которое мне нужно сегодня загореть.
286996	300038	Загорю плугу землю, включаю двигатель на полную, напряжу свои зелёные мязи и начинаю загореть поле.
316741	322947	Как же я люблю працевать!
322967	324749	Как добре будет тректором!
324849	326591	Рятуйте!
326771	327032	Ой!
327052	327712	Рятуйте!
327732	328013	Что случилось?
328193	332277	Залезный монстр хочет растоптать моих деток!
332297	333959	Какой монстр?
333979	334419	Где он?
334439	337402	Так это же ты и есть залезный монстр!
337622	338683	Я?
338743	341106	Посмотри под колеса!
341286	344149	Еще немного и ты раздавишь моих деток!
344787	347011	Ой, справди!
347111	348934	Гнездо с яечками!
348954	352861	Та з них скоро вылупляться крыхетни пташинята!
352881	355445	Пташечко, не бийся!
355525	357148	Я добрый трактор!
357248	359211	Я умыну твое гнездо!
359231	362056	Ни, мою родину це не врятуе!
362136	364640	Усе поле буде зоране!
364700	369208	А навкруги гнезда не буде травычки, яка ховае нас вид лысыці!
369492	372497	Ну, тогда я перенесу вас в безопасное место.
372537	387540	Хоть я уже и затримался, но вас в беде не оставляю.
387560	391146	Гадаю, в этом куще вам будет безопасно.
398838	400781	Спасибо!
400801	403104	Спасибо тебе, тракторчик молодец!
403204	408732	Дай я, маленькая пташка, когда-нибудь смогу поблагодарить тебя за твою доброту!
408812	409753	Хорошо!
409793	417704	Будьте здоровы, маленькая пташка!
417724	418405	Ой-ой!
418505	419867	Солнышко, уже низко!
420961	425106	Потребно поспешать, чтобы встыгнуть сегодня выорвать поле.
426948	432214	Ну что ж, бегу на все обороты с подвийной швидкостью.
432254	445190	Добраться!
445270	449635	Ох-ох-ох, а солнышко все ниже и ниже.
449817	462717	Потребно працевать шевыче!
462737	462917	Ше швыче!
462938	463118	Ше швыче!
470050	472935	Ой-ой, что ж я накоев?
473015	475699	Я так впырался, что перегрев двигун.
475720	479085	А теперь не можу рухатись, пока мотор не охолонит.
479105	482471	А у меня еще не закончена работа.
482511	484494	Может, мне кто-нибудь поможет?
484554	485796	Помогите!
485917	489182	Рятуйте кто-нибудь!
489262	490945	Помогите!
494435	498713	Ой, невже це тракторец кличе на допомогу?
498733	503533	Лычу, друже, лычу!
503918	505740	О, пташка!
505760	508203	Тракторец, что случилось?
508303	510966	Почему ты такой червоный и горячий?
